LA_zacc,LA_xgyro,LA_ygyro,LA_zgyro,LA_xmag,LA_ymag,LA_zmag,RL_xacc,RL_yacc,RL_zacc,RL_xgyro,RL_ygyro,RL_zgyro,RL_xmag,RL_ymag,RL_zmag,LL_xacc,LL_yacc,LL_zacc,LL_xgyro,LL_ygyro,LL_zgyro,LL_xmag,LL_ymag,LL_zmag
9.2755,0.29632,0.58205,0.60917,0.081209,0.49526,-1.147,-10.443,-15.192,-3.4231,1.7618,0.8662,-3.343,0.17289,-0.73144,0.040614,-21.972,-0.42906,-1.0661,1.5939,0.46321,-3.6732,0.57926,0.44274,0.10348
10.877,-0.35653,-0.40776,-0.088104,0.091638,0.502,-1.1457,-21.752,2.1846,-3.2415,0.33307,-0.62741,-2.5749,0.30095,-0.66876,0.069708,-21.032,10.952,-1.4528,2.0453,-0.29067,-3.796,0.48705,0.52638,0.10955
8.5808,0.07223,-1.2957,-0.49628,0.044258,0.50683,-1.15,-21.002,4.8622,-2.5691,-1.9203,0.28694,-2.832,0.40609,-0.59091,0.080843,-15.13,11.167,-2.4432,0.84886,0.24599,-2.9781,0.38974,0.59916,0.12359
6.5404,-0.096367,-1.4858,-0.70908,-0.041772,0.49858,-1.1559,-13.131,0.87415,0.89455,-1.2314,0.15202,-2.8832,0.48197,-0.50536,0.074392,-8.7033,13.136,-5.9151,-0.84828,0.19957,-1.3944,0.33697,0.62924,0.12927
6.1151,0.078467,-1.2577,-0.62888,-0.12258,0.4866,-1.1588,-14.767,7.3487,2.4002,-0.10484,0.3443,-2.9341,0.54351,-0.42033,0.07315,-4.5763,10.983,6.0866,0.8887,0.53118,0.054514,0.3159,0.63913,0.11073
3.7057,-0.074671,-0.32791,-0.26125,-0.1679,0.47434,-1.1648,-4.8736,16.546,2.1238,1.0455,-0.54784,-2.3008,0.58025,-0.34157,0.10447,3.5154,-8.571,3.2123,0.89397,0.38455,1.2228,0.35069,0.6246,0.071837
3.5601,-0.24207,0.6259,0.084765,-0.15684,0.48547,-1.1635,0.41448,15.691,0.1002,1.551,-0.51993,-0.15324,0.59351,-0.31661,0.10908,-5.3531,-15.947,-7.685,-0.37324,2.7573,-0.20846,0.34788,0.6247,0.08772
4.5864,-0.13171,1.5487,0.36067,-0.096845,0.50651,-1.1547,-4.2807,9.2548,3.104,1.8326,-0.04698,1.4506,0.57536,-0.35038,0.12281,-1.8848,8.5769,4.9602,-1.0992,-1.6533,-0.50173,0.34052,0.63,0.10376
9.7913,-0.084926,1.8209,0.36193,-0.004452,0.52307,-1.1454,-20.906,-2.6467,-0.2857,0.26883,0.30125,2.2918,0.54461,-0.43672,0.11426,-38.6,-28.872,11.694,0.63857,3.5483,-1.2065,0.33618,0.63955,0.10041
8.3676,0.48145,1.2414,0.29108,0.075863,0.51968,-1.1374,-15.769,2.9595,-1.7192,-1.4632,-0.23364,3.195,0.48809,-0.54675,0.05087,-3.5403,46.103,-6.9941,-2.0364,1.9343,-1.6405,0.29122,0.65252,0.15735
8.7271,-0.29086,0.65613,-0.070123,0.12339,0.51092,-1.1303,-28.047,-8.896,-4.7815,-2.1426,0.017736,3.4946,0.36859,-0.66003,-0.012583,-22.775,3.5638,-9.6599,-2.6155,-3.5848,5.7946,0.38272,0.5977,0.18293
10.28,-0.034706,0.082402,-0.79574,0.12451,0.52339,-1.1205,-16.05,-13.74,-2.5244,0.17313,-0.11588,3.7202,0.23325,-0.72955,-0.030768,-16.62,-2.5752,-1.1608,0.32088,-0.84611,2.3862,0.46731,0.56392,0.12315
7.2524,-0.73961,-0.65281,-0.87484,0.092259,0.53349,-1.1106,-9.4132,-12.291,-3.8557,1.6375,0.60285,2.7512,0.10075,-0.77635,0.032773,-23.292,1.4038,2.0541,1.6977,0.60069,3.7882,0.5449,0.50178,0.096405
7.8705,-0.095881,-0.96508,-0.79337,0.035063,0.53773,-1.1089,-5.4049,-9.2997,-1.5351,1.7329,0.96162,0.9348,0.061811,-0.76616,0.12211,-13.101,-5.0083,2.0596,-0.10192,0.14836,3.476,0.62928,0.40201,0.067274
7.2081,0.43356,-1.0634,-0.14392,-0.02288,0.53988,-1.117,-0.13263,3.9095,8.3775,-2.5142,-0.028712,-0.61712,0.084288,-0.74372,0.12272,-12.012,-12.59,2.7448,-0.56912,-0.21535,2.7039,0.68745,0.32032,0.037633
4.3453,0.60331,-0.54861,0.47951,-0.056621,0.50378,-1.1369,-2.9472,11.861,-5.4927,-3.3856,0.60614,0.77099,0.073016,-0.74649,0.016905,-0.009737,-23.87,1.7294,-1.2841,-0.026126,1.2439,0.71514,0.25087,0.04376
5.3507,0.066321,0.11213,1.2214,-0.041289,0.50365,-1.1438,-4.3503,0.055965,4.0279,0.95612,-0.64727,-0.22585,0.080636,-0.74843,-0.005726,-2.2877,-8.2056,4.7438,-1.8137,-1.3201,-1.0911,0.70987,0.26063,0.045788
5.4715,0.12737,0.75964,1.3339,0.006894,0.49383,-1.1513,-10.527,18.469,-9.2835,-1.9,-0.23295,-1.0166,0.11894,-0.7507,-0.064021,-7.1291,-6.113,-1.8989,-2.7416,0.15719,-2.3939,0.67761,0.3,0.076774
6.9154,-0.006928,0.90678,1.0298,0.070072,0.50595,-1.1471,-7.4181,-19.496,2.9072,2.6985,-0.11438,0.73496,0.080693,-0.76412,-0.050624,-25.151,-1.894,-0.86976,0.60692,-1.4878,-2.0904,0.62778,0.37601,0.10731
9.6988,0.99831,0.6562,0.55595,0.1232,0.48043,-1.1494,-9.6949,-16.008,-4.8252,1.9955,1.1966,-2.9916,0.11244,-0.75572,0.013807,-18.863,0.51543,-1.8851,1.4554,0.36141,-3.5013,0.58105,0.44887,0.1091
9.4312,-0.16471,-0.30728,-0.001899,0.137,0.4697,-1.1566,-22.605,2.9489,-2.0741,0.52775,-0.040853,-2.4258,0.25024,-0.70071,0.036321,-23.125,9.823,-2.5819,1.7216,0.081832,-3.5204,0.49287,0.52644,0.12584
11.594,0.1426,-1.336,-0.65527,0.088719,0.4646,-1.1663,-16.304,-0.16848,-7.4961,-1.4468,0.028396,-2.9984,0.35415,-0.63031,0.038402,-15.715,10.817,-1.9759,0.60209,0.17254,-3.2454,0.40971,0.5892,0.13246
5.8379,-0.4975,-1.4215,-0.84736,-0.003466,0.45557,-1.174,-14.896,1.7935,1.7659,-0.50754,-0.32512,-2.9576,0.47035,-0.53666,0.060729,-10.487,10.684,-2.8292,0.30352,0.43676,-1.4146,0.34126,0.6223,0.13416
7.5385,-0.54761,-1.2119,-0.79778,-0.086059,0.48864,-1.1641,-15.214,8.0644,1.1975,-0.46945,0.44251,-3.1575,0.53432,-0.44115,0.07904,-5.2977,11.778,2.0948,0.45158,0.5894,-0.1093,0.31873,0.63052,0.12616
3.5488,0.21199,-0.54719,-0.47702,-0.14266,0.47744,-1.1683,-9.4582,13.445,2.2977,0.63696,-0.53836,-2.7336,0.56983,-0.35936,0.091612,-0.10979,-5.3657,5.7594,0.47713,-0.5963,1.322,0.34242,0.6305,0.077405
3.471,-0.41033,0.54963,-0.053121,-0.14384,0.48423,-1.1666,0.31168,20.407,-1.4526,0.7788,-0.3669,-0.64107,0.58957,-0.31672,0.096615,-0.4852,-15.334,-9.8124,-0.14646,2.3828,-0.45075,0.35117,0.62548,0.076721
5.0886,-0.16892,1.3442,0.2789,-0.093626,0.50617,-1.1586,-3.0339,7.2501,4.8268,1.2688,-0.47136,1.0149,0.59058,-0.34439,0.080659,-3.7077,1.911,6.0245,-0.42253,-0.72626,-0.62725,0.33445,0.63866,0.11093
7.4017,-0.10327,1.8569,0.097327,0.003244,0.51162,-1.1483,-17.34,-2.1615,1.8637,1.0292,0.1736,2.1896,0.5642,-0.41703,0.090178,-31.76,-24.458,-3.5673,0.33714,1.5041,-0.36185,0.34396,0.62986,0.10915
7.108,0.006268,1.4606,0.29778,0.090988,0.52411,-1.1309,-17.006,3.7198,-1.7673,-0.46926,-0.73624,2.8512,0.50533,-0.52473,0.050841,-5.7656,41.476,-7.328,-3.0908,1.7586,-1.6577,0.30832,0.63159,0.17571
10.616,0.31185,1.0422,-0.037618,0.1528,0.52116,-1.1213,-26.057,-8.3725,-2.5363,-1.7396,0.28562,3.3431,0.41418,-0.63528,-0.010118,-18.634,4.8118,-4.6411,-2.3162,-2.8139,5.1225,0.36943,0.59821,0.20032
10.671,0.014711,-0.035272,-0.50276,0.1616,0.52373,-1.1121,-18.054,-13.648,-3.045,0.20089,-0.14052,3.6733,0.28394,-0.71535,-0.0283,-20.599,-0.071008,1.5204,0.66737,-0.33341,2.3697,0.45206,0.5681,0.1379
8.3898,-0.70932,-0.82844,-0.66102,0.12547,0.53081,-1.1116,-11.319,-13.692,-4.2901,1.2985,0.64216,2.9947,0.16334,-0.75193,0.024409,-21.315,2.4933,-0.2702,1.9674,0.66518,3.8015,0.53549,0.51034,0.095947
7.2841,0.44182,-1.2225,-0.45082,0.063647,0.51758,-1.1139,-5.4509,-12.356,-2.463,1.9072,0.56381,1.5208,0.082295,-0.75687,0.11273,-12.656,-7.6163,1.7613,0.55925,0.23027,3.3337,0.64549,0.39419,0.050508
6.8031,-0.39381,-0.97009,-0.27866,0.001621,0.50949,-1.1228,0.59008,2.7877,8.2957,-2.3939,-0.11015,-0.50146,0.094628,-0.74074,0.1215,-13.271,-8.3939,2.7947,-0.57531,-0.23068,3.0796,0.69977,0.29895,0.039345
5.7769,0.49568,-0.66368,0.43649,-0.033892,0.51639,-1.1324,-2.0725,14.018,-0.31558,-3.9654,0.38106,0.25032,0.1085,-0.73175,0.044134,0.077028,-24.934,0.25634,-0.71204,-0.1957,1.917,0.717,0.22858,0.032613
4.5377,0.6665,-0.034933,1.1099,-0.030352,0.48603,-1.1527,-3.383,2.404,1.2088,0.38595,-0.18071,-0.44557,0.10909,-0.73671,0.006028,-1.452,-9.8813,4.335,-0.51959,-0.91698,-0.71025,0.71505,0.22959,0.035173
6.744,0.67289,0.44393,1.3664,0.009033,0.46051,-1.1693,-11.367,13.312,3.5349,0.55374,-0.71135,0.54074,0.10691,-0.74402,-0.019791,-4.851,-4.6991,-3.3955,-1.9096,-0.11114,-2.142,0.69647,0.28213,0.025688
5.183,0.50062,0.95522,0.82213,0.068816,0.42522,-1.1826,-6.5266,-23.82,-2.4572,3.6638,0.34817,0.33472,0.08686,-0.76229,-0.019902,-24.793,0.7729,0.77204,-0.15764,-1.4476,-1.904,0.65179,0.3614,0.080228
8.3875,0.24675,1.0407,0.41375,0.13029,0.41945,-1.1773,-13.103,-7.3919,-2.3596,1.1191,0.53296,-3.6049,0.16843,-0.73536,0.03754,-20.947,-0.65052,-1.0568,0.92482,0.13965,-3.3196,0.60016,0.42625,0.094942
10.105,0.6377,0.010966,-0.3459,0.1589,0.40874,-1.1767,-19.599,-2.1056,0.69281,0.38259,-0.99617,-2.2694,0.27055,-0.68432,0.089486,-23.549,10.752,-0.54713,1.305,-0.18895,-3.8466,0.51397,0.51882,0.1054
11.824,-0.27393,-1.1095,-0.69221,0.11592,0.4016,-1.1841,-22.223,3.0888,-4.7075,-1.7252,0.54928,-3.1473,0.37658,-0.6068,0.078717,-16.211,9.9332,-2.7487,0.23783,0.19269,-3.255,0.43131,0.5791,0.11301
6.0639,-1.3119,-1.4541,-1.0166,0.032911,0.43747,-1.1799,-13.083,-2.0573,-1.082,-0.84715,0.082649,-2.9981,0.46059,-0.51382,0.082557,-10.99,9.727,-2.0186,-0.073748,0.34947,-1.8518,0.37464,0.60991,0.11987
8.3075,-0.28846,-1.522,-0.90741,-0.065201,0.47927,-1.1643,-15.397,7.0762,0.60219,-0.4254,0.24167,-3.3823,0.56479,-0.39741,0.07161,-4.1622,12.04,-1.8073,-0.081737,0.11555,-0.48167,0.34049,0.61762,0.11204
3.6669,0.17884,-0.80544,-0.67002,-0.13527,0.4512,-1.1724,-9.4977,16.157,1.026,-0.126,-0.53215,-2.8204,0.60496,-0.30306,0.095081,0.41287,-5.4519,4.0647,0.34367,-0.48467,1.3734,0.35905,0.60951,0.069478
3.5775,-0.34867,0.33134,0.0066,-0.15598,0.46922,-1.1667,-0.34974,19.136,0.3812,0.23924,-0.26353,-0.3167,0.59826,-0.26996,0.125,-0.20236,-20.246,-2.6642,0.88942,2.274,-0.85002,0.37198,0.60944,0.077944
4.5754,-0.068362,1.1838,0.33718,-0.11535,0.47883,-1.1632,-3.0476,10.988,4.0722,0.60368,-0.34353,1.3253,0.5987,-0.30429,0.092701,-2.83,4.0822,3.438,-0.32778,-0.66024,-0.83016,0.34277,0.62999,0.091156
6.9036,-0.15363,1.6527,0.29556,-0.029798,0.49476,-1.1567,-12.745,-4.2628,1.163,0.71782,-0.13828,1.9635,0.57742,-0.38648,0.065381,-22.979,-18.306,-12.292,2.3771,-0.97928,0.45158,0.33827,0.63672,0.095905
8.0991,-0.018859,1.1632,0.36531,0.062739,0.50257,-1.1446,-23.317,4.3336,-0.30423,0.82869,-1.183,2.5768,0.53701,-0.49965,0.018952,-4.2863,19.285,-3.4932,-3.8783,-0.093081,-1.6751,0.31509,0.63492,0.14405
10.764,0.52607,0.67039,0.054317,0.11018,0.47939,-1.1392,-24.734,-7.3763,-2.7808,-1.0977,0.49895,3.3536,0.44195,-0.61702,-0.012389,-19.599,12.749,-2.3352,-2.3161,-0.6158,4.0121,0.35529,0.60459,0.18721
8.9437,-0.13147,-0.38643,-0.55536,0.10225,0.49136,-1.1359,-18.376,-13.121,-2.1067,-0.40348,-0.20978,3.9695,0.31266,-0.70086,-0.019022,-22.239,-2.9068,-1.3761,1.2971,1.0771,2.2237,0.43949,0.56904,0.15253
8.7658,-0.62161,-0.86741,-0.71311,0.058216,0.50277,-1.134,-12.728,-12.292,-3.0595,0.73314,0.41764,3.3491,0.17754,-0.74751,0.014089,-18.757,1.4432,-2.456,1.0767,0.57075,3.4926,0.5233,0.51368,0.1054
7.1719,0.31184,-1.0786,-0.71863,-0.005914,0.49847,-1.1369,-7.0769,-12.976,-2.8702,1.9422,0.46093,1.963,0.10047,-0.753,0.098676,-13.75,-7.9332,1.981,0.74465,0.10588,3.4695,0.60493,0.42523,0.065937
6.5738,-0.056825,-0.94032,-0.47353,-0.077826,0.47488,-1.1439,0.27386,-2.7978,7.5677,-0.75849,-0.18248,-0.25065,0.081009,-0.73549,0.14305,-14.549,-11.294,2.9744,0.057294,-0.1218,2.8361,0.69431,0.31747,0.02589
5.3444,0.42112,-0.62361,0.31656,-0.11026,0.45953,-1.1503,0.39319,9.278,5.5687,-4.0706,0.22781,0.10377,0.094302,-0.73465,0.071955,-0.39786,-22.754,1.1805,-0.59831,0.031972,1.5439,0.72431,0.24368,0.021346
5.7877,0.33012,0.050638,1.0903,-0.10622,0.4505,-1.1604,-3.5053,6.3494,-0.83871,-0.25542,0.9329,-0.22536,0.095528,-0.73341,0.028378,-1.3093,-6.4389,6.6401,-0.7999,-0.77433,-0.68527,0.70399,0.24763,0.042673
6.466,1.0666,0.43256,2.032,-0.067462,0.42605,-1.1769,-0.60765,0.95996,3.0217,-0.87661,-1.6946,-0.74065,0.10722,-0.73926,0.003073,-3.4438,-5.8594,-2.4261,-2.6457,-0.52129,-1.5321,0.68738,0.28465,0.042911
8.5246,1.134,0.72516,1.1251,-0.010923,0.37393,-1.1996,-23.734,-9.0326,12.322,2.4209,-0.16661,1.6281,0.083811,-0.75454,-0.031167,-30.687,-2.8429,0.1846,0.65669,0.23062,-3.1601,0.64045,0.36287,0.095418
7.9151,1.0252,0.48849,0.75472,0.043295,0.32343,-1.2181,0.43306,-30.317,-11.434,2.2776,2.135,-2.0374,0.067195,-0.76137,0.013402,-14.642,-1.5356,-2.0285,0.99814,0.37925,-3.3644,0.58393,0.45294,0.094988
10.615,0.86294,0.39328,-0.74554,0.066829,0.27562,-1.2332,-28.231,0.77364,-10.97,0.53068,-0.63063,-3.3642,0.21821,-0.71767,0.042701,-27.893,6.93,-2.0203,1.7297,-0.068203,-3.6494,0.49367,0.53471,0.12374
11.32,0.46757,-0.45626,-1.2343,0.051532,0.24263,-1.2434,-13.641,-1.6873,-5.8354,-1.2309,-0.63145,-2.8506,0.31551,-0.65659,0.081072,-14.223,12.029,-2.4106,0.31036,-0.22733,-3.7094,0.41087,0.58753,0.13002
10.446,-0.37308,-0.51328,-1.1517,0.015978,0.23415,-1.2489,-19.642,3.2804,3.9873,-0.56604,-0.43008,-3.0654,0.41751,-0.57205,0.068269,-11.238,10.805,-4.4403,-0.49011,0.28968,-1.4667,0.34933,0.62173,0.13403
7.0621,-2.1032,-0.23072,-1.1766,-0.009272,0.28252,-1.2453,-13.516,5.8985,0.64126,-0.51916,0.38534,-3.1725,0.49239,-0.47447,0.085649,-5.1718,8.8869,-2.4006,-1.4263,0.75816,-0.20486,0.33245,0.61888,0.15784
5.6248,-1.7361,0.002639,-0.89306,-0.03085,0.36331,-1.2338,-11.75,9.1513,2.834,0.85962,-0.45235,-2.987,0.56426,-0.37095,0.081973,-2.2373,-3.8962,2.784,-0.29013,0.27464,1.638,0.34784,0.61523,0.1415
3.8144,-1.7426,0.66635,-0.25969,-0.010759,0.44686,-1.2134,0.22601,22.833,-0.73666,0.91059,-0.60588,-1.2863,0.59151,-0.30642,0.097334,0.68738,-17.739,-0.84946,1.7408,1.0951,-0.70308,0.35995,0.61375,0.1295
2.855,0.36744,1.2919,0.051757,0.036628,0.4751,-1.2013,-0.95922,8.7089,4.0866,1.1418,-0.49606,0.87369,0.58498,-0.31559,0.12252,-3.2484,-0.95872,5.763,0.76647,-0.080265,-0.36184,0.34183,0.62788,0.12496
4.3897,0.61381,2.042,-0.16015,0.13182,0.4591,-1.1969,-11.866,1.7652,0.64139,1.3571,0.52427,1.9896,0.56973,-0.37955,0.10498,-19.245,-16.691,-2.797,1.0595,-0.47261,-0.39544,0.33581,0.64083,0.10288
6.9199,0.24785,2.2481,-1.1113,0.22787,0.47123,-1.1751,-23.43,4.1411,-0.99653,0.24809,-1.4227,2.3262,0.52291,-0.47692,0.078852,-4.0281,21.157,-3.0803,-2.7382,-0.11602,-1.6403,0.30601,0.64757,0.13983
9.9969,-1.1239,1.9994,-1.1835,0.32071,0.52512,-1.1291,-23.099,-5.1701,-1.52,-1.632,0.47257,3.4315,0.43178,-0.61183,0.009461,-17.617,16.365,-3.1361,-3.0282,-0.47369,3.6664,0.33547,0.62448,0.18212
11.767,-0.4888,1.2981,-1.6711,0.36881,0.61121,-1.0773,-20.223,-14.215,-2.4277,-0.86085,-0.60634,3.7265,0.30373,-0.70112,-0.029368,-27.082,-6.1167,0.19932,1.1236,1.1618,2.2116,0.44195,0.57237,0.14872
9.5193,-0.98232,1.1,-2.1016,0.37295,0.68804,-1.0397,-13.003,-11.196,-3.5389,0.81412,0.399,3.0501,0.18463,-0.73658,0.020143,-15.221,4.1303,-6.5949,0.79278,1.1197,3.2094,0.52997,0.51285,0.1187
5.7178,-1.9198,1.2058,-1.864,0.35789,0.78838,-0.97647,-6.273,-12.581,-3.1846,1.9358,0.54478,1.525,0.12576,-0.73973,0.10414,-15.396,-11.272,2.0488,0.64452,-0.25198,3.7133,0.61905,0.42188,0.07569
3.8866,-1.5616,0.68793,-1.3821,0.33514,0.87442,-0.91034,-0.53707,-4.4042,5.3398,-0.83477,0.034541,-0.066015,0.13326,-0.72173,0.14651,-13.589,-10.486,3.2319,0.3871,-0.075085,2.884,0.67678,0.32675,0.055657
4.3676,-0.7556,0.1992,-0.50238,0.29812,0.92031,-0.87174,0.20296,7.6742,6.9171,-4.4433,0.32437,0.12622,0.14208,-0.71106,0.063814,-2.3689,-19.326,1.9259,-0.26913,-0.27201,1.9335,0.71335,0.24829,0.020647
3.4445,-0.18421,-0.31689,0.50102,0.30246,0.94346,-0.8632,-4.9121,9.8805,-3.6843,-0.019397,1.5935,-0.068335,0.13019,-0.71589,-0.007535,-0.56705,-9.6941,5.1573,-0.99059,-0.49887,-0.23275,0.71644,0.23127,0.023701
4.6032,0.33163,-0.73433,1.7527,0.33725,0.94954,-0.87548,-1.6561,-0.43318,5.193,0.98434,-1.7857,-0.079505,0.14581,-0.72705,-0.01566,-2.2596,-6.3491,-0.68925,-1.6696,-1.306,-0.97036,0.71016,0.24545,0.027199
9.2457,0.019217,-0.93113,2.5879,0.40787,0.92936,-0.8945,-29.082,-6.129,12.338,2.4701,1.0724,1.1936,0.1353,-0.74046,-0.035977,-27.337,-2.6468,1.5864,-0.28812,0.21157,-3.5194,0.67617,0.32042,0.06064
7.5606,1.493,-0.98234,2.7355,0.46353,0.819,-0.95495,0.77012,-29.687,-12.853,2.6197,1.4285,-1.9187,0.13312,-0.73588,0.060449,-13.896,-3.1131,-2.6551,0.85407,0.036446,-2.9144,0.62912,0.3902,0.054021
9.0545,-0.007631,-1.0855,2.6433,0.49963,0.69385,-1.0074,-27.889,4.252,-10.27,-1.2527,-0.82471,-3.3491,0.26503,-0.68649,0.081133,-30.085,9.1322,-2.9404,1.1279,0.24561,-3.6522,0.54318,0.49466,0.068097
8.0238,0.70773,-1.3576,1.6307,0.48002,0.59533,-1.041,-13.142,-4.4356,-6.3475,-0.85829,0.13683,-3.2791,0.3727,-0.61718,0.080519,-16.124,8.9193,-3.4297,0.54039,-0.15559,-3.6036,0.46537,0.5545,0.071376
4.3007,-0.072219,-1.5289,1.0592,0.4344,0.54019,-1.0482,-18.135,4.8486,3.4231,-0.37881,-0.62651,-3.1601,0.48239,-0.53273,0.057624,-12.676,9.7673,-2.7492,-0.022476,0.44049,-2.0812,0.40459,0.58084,0.091791
